# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
1.8900000e+06	2.8800000e+02	2.8749747e+18	1.1431748e-01
1.9000000e+06	2.8800000e+02	2.8421729e+18	1.1301318e-01
1.9100000e+06	2.8800000e+02	2.8097454e+18	1.1172377e-01
1.9200000e+06	2.8800000e+02	2.7776878e+18	1.1044906e-01
1.9300000e+06	2.8800000e+02	2.7459960e+18	1.0918890e-01
1.9400000e+06	2.8800000e+02	2.7146658e+18	1.0794312e-01
1.9500000e+06	2.8800000e+02	2.6836931e+18	1.0671155e-01
1.9600000e+06	2.8800000e+02	2.6530737e+18	1.0549404e-01
1.9700000e+06	2.8800000e+02	2.6228037e+18	1.0429041e-01
1.9800000e+06	2.8800000e+02	2.5928790e+18	1.0310052e-01
1.9900000e+06	2.8800000e+02	2.5632958e+18	1.0192420e-01
2.0000000e+06	2.8800000e+02	2.5340501e+18	1.0076131e-01
2.0100000e+06	2.8800000e+02	2.5051380e+18	9.9611679e-02
2.0200000e+06	2.8800000e+02	2.4765559e+18	9.8475168e-02
2.0300000e+06	2.8800000e+02	2.4482998e+18	9.7351624e-02
2.0400000e+06	2.8800000e+02	2.4203661e+18	9.6240898e-02
2.0500000e+06	2.8800000e+02	2.3927512e+18	9.5142846e-02
2.0600000e+06	2.8800000e+02	2.3654513e+18	9.4057321e-02
2.0700000e+06	2.8800000e+02	2.3384628e+18	9.2984182e-02
2.0800000e+06	2.8800000e+02	2.3117823e+18	9.1923287e-02
2.0900000e+06	2.8800000e+02	2.2854063e+18	9.0874495e-02
2.1000000e+06	2.8800000e+02	2.2593311e+18	8.9837670e-02
2.1100000e+06	2.8800000e+02	2.2335534e+18	8.8812675e-02
2.1200000e+06	2.8800000e+02	2.2080699e+18	8.7799374e-02
2.1300000e+06	2.8800000e+02	2.1828771e+18	8.6797634e-02
2.1400000e+06	2.8800000e+02	2.1579718e+18	8.5807324e-02
2.1500000e+06	2.8800000e+02	2.1333506e+18	8.4828312e-02
2.1600000e+06	2.8800000e+02	2.1090103e+18	8.3860471e-02
2.1700000e+06	2.8800000e+02	2.0849477e+18	8.2903671e-02
2.1800000e+06	2.8800000e+02	2.0611596e+18	8.1957789e-02
2.1900000e+06	2.8800000e+02	2.0376430e+18	8.1022698e-02
2.2000000e+06	2.8800000e+02	2.0143947e+18	8.0098276e-02
2.2100000e+06	2.8800000e+02	1.9914116e+18	7.9184402e-02
2.2200000e+06	2.8800000e+02	1.9686908e+18	7.8280954e-02
2.2300000e+06	2.8800000e+02	1.9462292e+18	7.7387814e-02
2.2400000e+06	2.8800000e+02	1.9240238e+18	7.6504864e-02
2.2500000e+06	2.8800000e+02	1.9020718e+18	7.5631988e-02
2.2600000e+06	2.8800000e+02	1.8803703e+18	7.4769071e-02
2.2700000e+06	2.8800000e+02	1.8589164e+18	7.3916000e-02
2.2800000e+06	2.8800000e+02	1.8377072e+18	7.3072661e-02
2.2900000e+06	2.8800000e+02	1.8167401e+18	7.2238945e-02
2.3000000e+06	2.8800000e+02	1.7960121e+18	7.1414740e-02
2.3100000e+06	2.8800000e+02	1.7755207e+18	7.0599940e-02
2.3200000e+06	2.8800000e+02	1.7552630e+18	6.9794435e-02
2.3300000e+06	2.8800000e+02	1.7352365e+18	6.8998122e-02
2.3400000e+06	2.8800000e+02	1.7154384e+18	6.8210893e-02
2.3500000e+06	2.8800000e+02	1.6958663e+18	6.7432647e-02
2.3600000e+06	2.8800000e+02	1.6765174e+18	6.6663279e-02
2.3700000e+06	2.8800000e+02	1.6573893e+18	6.5902690e-02
2.3800000e+06	2.8800000e+02	1.6384795e+18	6.5150779e-02
2.3900000e+06	2.8800000e+02	1.6197854e+18	6.4407446e-02
2.4000000e+06	2.8800000e+02	1.6013046e+18	6.3672595e-02
2.4100000e+06	2.8800000e+02	1.5830346e+18	6.2946128e-02
2.4200000e+06	2.8800000e+02	1.5649731e+18	6.2227949e-02
2.4300000e+06	2.8800000e+02	1.5471177e+18	6.1517965e-02
2.4400000e+06	2.8800000e+02	1.5294660e+18	6.0816080e-02
2.4500000e+06	2.8800000e+02	1.5120157e+18	6.0122204e-02
2.4600000e+06	2.8800000e+02	1.4947645e+18	5.9436245e-02
2.4700000e+06	2.8800000e+02	1.4777101e+18	5.8758112e-02
2.4800000e+06	2.8800000e+02	1.4608503e+18	5.8087716e-02
2.4900000e+06	2.8800000e+02	1.4441828e+18	5.7424969e-02
2.5000000e+06	2.8800000e+02	1.4277055e+18	5.6769784e-02
2.5100000e+06	2.8800000e+02	1.4114162e+18	5.6122074e-02
2.5200000e+06	2.8800000e+02	1.3953128e+18	5.5481753e-02
2.5300000e+06	2.8800000e+02	1.3793931e+18	5.4848739e-02
2.5400000e+06	2.8800000e+02	1.3636550e+18	5.4222947e-02
2.5500000e+06	2.8800000e+02	1.3480965e+18	5.3604295e-02
2.5600000e+06	2.8800000e+02	1.3327155e+18	5.2992701e-02
