# Formed by reprocess_s8_optical_parameters.py, from digitizing Figure S1 of Tian+2010
# wav(microns)	N_r	N_i
4.5300000e-01	1.9657515e+00	3.2312981e-04
4.5400000e-01	1.9656922e+00	3.0676768e-04
4.5500000e-01	1.9654845e+00	2.9348874e-04
4.5600000e-01	1.9643133e+00	2.8130574e-04
4.5700000e-01	1.9631422e+00	2.6877738e-04
4.5800000e-01	1.9619711e+00	2.5608825e-04
4.5900000e-01	1.9608000e+00	2.4426366e-04
4.6000000e-01	1.9596288e+00	2.3256567e-04
4.6100000e-01	1.9584909e+00	2.2107118e-04
4.6200000e-01	1.9577706e+00	2.0975738e-04
4.6300000e-01	1.9570503e+00	2.0016205e-04
4.6400000e-01	1.9563300e+00	1.9000386e-04
4.6500000e-01	1.9556097e+00	1.7701487e-04
4.6600000e-01	1.9548894e+00	1.6431352e-04
4.6700000e-01	1.9541691e+00	1.5832278e-04
4.6800000e-01	1.9534488e+00	1.5338449e-04
4.6900000e-01	1.9527285e+00	1.4356997e-04
4.7000000e-01	1.9520082e+00	1.3387930e-04
4.7100000e-01	1.9512957e+00	1.2766144e-04
4.7200000e-01	1.9506099e+00	1.2147927e-04
4.7300000e-01	1.9499241e+00	1.1548729e-04
4.7400000e-01	1.9492383e+00	1.0972196e-04
4.7500000e-01	1.9485525e+00	1.0473672e-04
4.7600000e-01	1.9478666e+00	1.0013714e-04
4.7700000e-01	1.9471808e+00	9.6155195e-05
4.7800000e-01	1.9464950e+00	9.1989207e-05
4.7900000e-01	1.9458092e+00	8.7230601e-05
4.8000000e-01	1.9451234e+00	8.3021655e-05
4.8100000e-01	1.9444462e+00	7.9389030e-05
4.8200000e-01	1.9437963e+00	7.5560924e-05
4.8300000e-01	1.9431464e+00	7.1506439e-05
4.8400000e-01	1.9424965e+00	6.8090892e-05
4.8500000e-01	1.9418466e+00	6.4828544e-05
4.8600000e-01	1.9411967e+00	6.1835134e-05
4.8700000e-01	1.9405468e+00	5.8903812e-05
4.8800000e-01	1.9398969e+00	5.4495800e-05
4.8900000e-01	1.9392470e+00	5.0465088e-05
4.9000000e-01	1.9385971e+00	4.7711196e-05
4.9100000e-01	1.9379472e+00	4.5389205e-05
4.9200000e-01	1.9373003e+00	4.3198431e-05
4.9300000e-01	1.9366546e+00	4.1034649e-05
4.9400000e-01	1.9360089e+00	3.9246027e-05
4.9500000e-01	1.9353632e+00	3.7531437e-05
4.9600000e-01	1.9347175e+00	3.5873830e-05
4.9700000e-01	1.9340719e+00	3.4222382e-05
4.9800000e-01	1.9334262e+00	3.2619894e-05
4.9900000e-01	1.9327805e+00	3.1020489e-05
5.0000000e-01	1.9321348e+00	2.9670211e-05
5.0100000e-01	1.9314892e+00	2.8313871e-05
5.0200000e-01	1.9308447e+00	2.6881047e-05
5.0300000e-01	1.9302114e+00	2.5436569e-05
5.0400000e-01	1.9295781e+00	2.3935684e-05
5.0500000e-01	1.9289448e+00	2.2455366e-05
5.0600000e-01	1.9283114e+00	2.1070778e-05
5.0700000e-01	1.9276781e+00	1.9711421e-05
5.0800000e-01	1.9270448e+00	1.8749727e-05
5.0900000e-01	1.9264115e+00	1.7819751e-05
5.1000000e-01	1.9257782e+00	1.6985163e-05
5.1100000e-01	1.9251449e+00	1.6171774e-05
5.1200000e-01	1.9245115e+00	1.5398204e-05
5.1300000e-01	1.9238902e+00	1.4691677e-05
5.1400000e-01	1.9232984e+00	1.4058967e-05
